"Sector","Major Head ","Cat","Cat2","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"REGS","MH 2045","B","G","Chattisgarh","0.00","2.89","7.65","11.92","3.38","5.89","32.44","92.90","121.72","132.44","126.43","38.55"
"REGS","MH 2045","B","UT","D NCT Delhi","0.39","0.40","0.47","0.42","0.45","0.53","0.54","0.50","0.28","0.52","0.58","0.63"
"REGS","MH 2045","B","G","Goa","0.20","0.21","0.21","0.24","0.23","0.23","0.63","0.87","0.97","1.41","2.18","1.38"
"REGS","MH 2045","B","G","Gujarat","7.69","7.03","7.39","8.04","7.85","8.68","9.05","10.05","10.68","12.12","18.14","17.84"
"REGS","MH 2045","B","G","Haryana","1.52","1.55","1.71","1.76","1.81","8.44","8.97","2.11","2.30","3.02","3.92","4.39"
"REGS","MH 2045","B","S","Himachal Pradesh","8.92","9.77","10.58","11.08","11.26","12.16","13.13","14.60","15.64","17.34","19.73","24.55"
"REGS","MH 2045","B","S","Jammu and Kashmir","0.77","0.84","0.77","0.76","0.75","0.71","0.85","0.82","0.80","1.03","0.94","1.27"
"REGS","MH 2045","B","G","Jharkhand","0.00","0.08","0.32","0.29","0.28","0.25","0.56","0.52","0.31","0.33","0.28","0.38"
"REGS","MH 2045","B","G","Karnataka","2.66","2.68","3.04","3.28","3.28","3.80","6.55","4.00","4.75","9.99","8.00","8.46"
"REGS","MH 2045","B","G","Kerala","5.17","5.38","4.60","5.01","5.63","5.89","6.33","7.17","8.18","8.96","10.44","11.91"
"REGS","MH 2045","B","G","Madhya Pradesh","29.45","27.03","23.20","56.72","220.74","281.34","243.28","278.52","274.03","173.72","109.77","493.04"
"REGS","MH 2045","B","G","Maharastra","228.49","243.52","348.06","375.04","320.57","365.31","572.67","546.88","26.48","32.56","36.85","44.09"
"REGS","MH 2045","B","S","Manipur","0.05","0.07","0.27","0.06","0.05","0.05","0.05","0.06","0.05","0.06","0.05","0.10"
"REGS","MH 2045","B","S","Meghalaya","0.27","0.30","0.34","0.33","0.38","0.38","0.37","0.53","0.52","50.56","0.81","0.89"
"REGS","MH 2045","B","S","Mizoram","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2045","B","S","Nagaland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.17","0.25","0.28","0.34","0.75"
"REGS","MH 2045","B","G","Orissa","1.79","1.44","1.43","1.48","1.68","2.38","2.59","2.91","3.14","3.99","4.66","5.65"
"REGS","MH 2045","B","G","Punjab","1.41","1.85","1.62","1.63","1.72","1.83","1.89","1.82","1.99","2.10","2.56","2.98"
"REGS","MH 2045","B","G","Rajasthan","5.73","6.12","6.09","5.41","5.70","7.28","7.69","9.06","9.17","12.23","12.75","12.25"
"REGS","MH 2045","B","S","Sikkim","0.26","0.28","0.28","0.35","0.36","0.38","0.46","0.45","16.48","14.29","12.04","15.77"
"REGS","MH 2045","B","G","Tamil Nadu","4.48","4.01","3.73","4.21","3.93","4.36","3.16","3.14","4.03","5.33","6.41","6.95"
"REGS","MH 2045","B","S","Tripura","0.12","0.14","0.14","0.15","0.17","0.16","0.16","0.17","0.18","0.18","0.28","0.26"
"REGS","MH 2045","B","G","Uttar Pradesh","16.05","17.29","17.75","19.32","21.62","41.98","39.30","62.11","79.41","73.28","77.90","84.59"
"REGS","MH 2045","B","S","Uttarakhand","0.00","0.26","0.84","0.79","0.82","0.88","0.98","1.17","1.21","1.66","1.79","2.11"
"REGS","MH 2045","B","G","West Bengal","5.55","4.93","4.18","3.60","3.73","3.89","4.07","4.08","4.99","4.45","7.38","7.42"
"REGS","MH 2046","A","U","A Union Govt","716.13","672.63","556.64","540.91","585.70","610.44","526.22","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","UT","A UT Puducherry","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Andhra Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Arunachal Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Assam","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Bihar","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Chattisgarh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","UT","D NCT Delhi","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Goa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Gujarat","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Haryana","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Himachal Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Jammu and Kashmir","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Jharkhand","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Karnataka","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Kerala","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Madhya Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Maharastra","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Manipur","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Meghalaya","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Mizoram","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Nagaland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Orissa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Punjab","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Rajasthan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Sikkim","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Tamil Nadu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Tripura","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","Uttar Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","S","Uttarakhand","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2046","B","G","West Bengal","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2047","A","U","A Union Govt","280.67","234.21","269.86","302.78","298.26","305.04","267.40","51.21","56.29","72.82","82.71","81.96"
"REGS","MH 2047","B","UT","A UT Puducherry","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2047","B","G","Andhra Pradesh","33.73","52.53","55.46","40.72","87.29","92.06","101.98","89.17","63.09","54.49","75.90","59.57"
"REGS","MH 2047","B","S","Arunachal Pradesh","0.17","0.22","0.20","0.26","0.35","0.30","0.28","0.32","0.34","0.45","0.90","0.76"
"REGS","MH 2047","B","S","Assam","0.92","1.00","1.11","1.36","1.53","1.95","1.04","0.76","1.24","0.97","0.93","1.39"
"REGS","MH 2047","B","G","Bihar","3.07","2.81","1.99","2.26","3.34","2.24","2.09","2.35","1.97","2.13","3.14","3.08"
"REGS","MH 2047","B","G","Chattisgarh","0.00","0.11","0.32","0.76","1.72","0.34","0.32","0.34","0.34","0.45","0.60","0.64"
"REGS","MH 2047","B","UT","D NCT Delhi","6.54","7.47","11.96","10.81","9.45","9.98","5.62","8.46","6.65","0.25","0.98","0.19"
"REGS","MH 2047","B","G","Goa","0.08","0.13","0.04","0.08","0.14","0.10","0.07","0.12","0.03","0.00","0.01","0.02"
"REGS","MH 2047","B","G","Gujarat","3.71","3.40","2.29","2.49","2.17","1.94","1.93","2.07","2.36","1.41","2.23","2.39"
"REGS","MH 2047","B","G","Haryana","3.18","3.22","5.28","3.90","4.69","3.92","2.93","2.46","1.25","1.42","0.86","1.11"
"REGS","MH 2047","B","S","Himachal Pradesh","1.55","2.33","1.34","1.35","1.29","1.43","1.58","1.08","0.92","0.69","0.54","0.66"
"REGS","MH 2047","B","S","Jammu and Kashmir","0.03","0.01","0.03","0.04","0.05","0.06","0.05","0.14","0.63","0.60","0.94","0.72"
"REGS","MH 2047","B","G","Jharkhand","0.00","0.22","1.03","1.75","2.29","2.08","3.06","3.13","1.52","1.69","2.04","2.09"
"REGS","MH 2047","B","G","Karnataka","78.12","43.54","51.20","37.97","35.96","64.90","39.41","21.25","30.20","11.99","5.02","5.30"
"REGS","MH 2047","B","G","Kerala","46.01","57.69","71.00","70.20","63.09","125.15","74.09","82.09","135.23","90.41","109.08","133.87"
"REGS","MH 2047","B","G","Madhya Pradesh","1.93","1.60","1.31","12.85","24.39","22.23","22.75","11.45","2.09","2.18","2.22","1.56"
"REGS","MH 2047","B","G","Maharastra","41.38","47.61","27.10","43.59","45.87","93.95","56.21","12.09","6.04","5.50","4.59","3.70"
"REGS","MH 2047","B","S","Manipur","0.41","0.50","0.59","0.53","0.44","0.44","0.59","0.23","0.26","0.30","0.31","0.33"
"REGS","MH 2047","B","S","Meghalaya","0.09","0.10","0.06","0.06","0.08","0.07","0.08","0.08","0.10","0.15","0.22","0.26"
"REGS","MH 2047","B","S","Mizoram","0.45","0.40","0.41","0.44","0.52","0.58","0.65","0.60","0.60","0.78","0.78","0.87"
"REGS","MH 2047","B","S","Nagaland","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.02","0.04","0.04","0.04","0.04"
"REGS","MH 2047","B","G","Orissa","1.89","2.24","2.56","2.51","2.48","2.55","2.47","2.40","2.55","2.30","2.62","2.75"
"REGS","MH 2047","B","G","Punjab","41.16","54.09","40.44","40.34","47.09","43.73","56.93","53.98","38.32","12.42","9.70","46.60"
"REGS","MH 2047","B","G","Rajasthan","75.73","83.26","120.62","107.02","119.80","111.05","50.95","7.71","4.99","3.32","3.62","1.04"
"REGS","MH 2047","B","S","Sikkim","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2047","B","G","Tamil Nadu","27.11","30.61","34.10","56.50","56.16","75.53","74.21","49.10","35.25","30.04","30.23","45.91"
"REGS","MH 2047","B","S","Tripura","0.67","0.69","0.82","0.79","0.77","0.79","0.85","1.04","1.01","1.17","1.56","1.51"
"REGS","MH 2047","B","G","Uttar Pradesh","7.69","7.16","6.09","5.95","6.62","6.78","7.48","8.56","9.31","10.51","12.05","16.55"
"REGS","MH 2047","B","S","Uttarakhand","0.00","0.21","1.21","1.16","1.44","1.41","1.64","1.61","1.94","2.66","2.99","18.29"
"REGS","MH 2047","B","G","West Bengal","15.02","20.57","10.13","20.82","17.98","21.94","22.95","24.15","26.64","27.89","43.81","30.33"
"REGS","MH 2048","A","U","A Union Govt","0.00","0.00","0.00","313.61","4080.21","0.00","0.00","0.00","0.00","563.04","0.00","57.21"
"REGS","MH 2048","B","UT","A UT Puducherry","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.00","12.96","8.28"
"REGS","MH 2048","B","G","Andhra Pradesh","60.38","77.35","91.38","0.00","0.00","0.00","199.66","213.49","377.11","419.50","456.54","542.10"
"REGS","MH 2048","B","S","Arunachal Pradesh","2.58","2.58","2.58","2.58","6.30","7.41","11.07","12.76","12.40","14.00","15.00","17.00"
"REGS","MH 2048","B","S","Assam","15.32","20.00","60.00","72.00","96.00","44.00","144.00","176.00","204.00","108.00","108.00","120.00"
"REGS","MH 2048","B","G","Bihar","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","140.00","140.00","160.00"
"REGS","MH 2048","B","G","Chattisgarh","0.00","0.00","39.94","43.00","56.00","208.00","50.00","50.00","100.00","100.00","100.00","100.00"
"REGS","MH 2048","B","UT","D NCT Delhi","0.00","0.00","0.00","0.00","0.00","0.00","11.83","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2048","B","G","Goa","6.50","8.65","5.00","0.00","13.50","20.00","20.00","20.00","20.00","30.00","30.00","30.00"
"REGS","MH 2048","B","G","Gujarat","0.00","0.00","0.00","0.00","70.00","240.00","1250.00","800.00","900.00","200.00","560.00","500.00"
"REGS","MH 2048","B","G","Haryana","0.00","0.00","0.00","0.00","29.80","51.87","41.90","51.00","49.97","47.43","72.48","105.68"
"REGS","MH 2048","B","S","Himachal Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2048","B","S","Jammu and Kashmir","0.00","0.00","0.00","0.00","0.00","0.00","0.20","1.00","1.00","1.00","1.00","0.00"
"REGS","MH 2048","B","G","Jharkhand","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2048","B","G","Karnataka","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2048","B","G","Kerala","0.00","0.00","0.00","0.00","0.00","0.00","130.59","0.00","222.52","344.34","276.36","275.00"
"REGS","MH 2048","B","G","Madhya Pradesh","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2048","B","G","Maharastra","112.15","134.39","133.10","156.20","193.00","223.00","409.00","526.00","561.00","599.00","831.00","901.00"
"REGS","MH 2048","B","S","Manipur","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.66","23.32","22.09"
"REGS","MH 2048","B","S","Meghalaya","2.39","2.39","3.79","4.64","5.47","7.00","8.25","9.06","11.69","13.52","14.09","15.63"
"REGS","MH 2048","B","S","Mizoram","0.00","2.25","2.00","3.00","4.00","5.00","6.00","7.00","14.00","15.00","16.50","17.00"
"REGS","MH 2048","B","S","Nagaland","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.18","20.54","22.20","26.00"
"REGS","MH 2048","B","G","Orissa","0.07","0.07","0.08","50.07","150.07","785.00","660.07","1488.07","700.07","0.07","500.07","0.07"
"REGS","MH 2048","B","G","Punjab","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2048","B","G","Rajasthan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","350.00","0.00","0.00","0.00","0.00"
"REGS","MH 2048","B","S","Sikkim","4.20","5.58","6.32","11.00","11.00","11.00","11.00","11.73","11.73","11.73","12.00","12.00"
"REGS","MH 2048","B","G","Tamil Nadu","0.00","0.00","0.00","0.00","0.00","450.00","450.00","450.00","450.00","450.00","182.29","197.51"
"REGS","MH 2048","B","S","Tripura","0.00","0.00","0.00","0.00","0.00","0.00","40.00","20.00","40.00","20.00","0.00","0.00"
"REGS","MH 2048","B","G","Uttar Pradesh","928.84","1174.38","1325.41","1509.42","1818.30","2296.54","2636.80","2872.07","3057.93","3163.79","4866.63","7322.69"
"REGS","MH 2048","B","S","Uttarakhand","0.00","0.00","150.00","50.00","50.00","125.00","145.00","135.00","93.00","55.00","50.00","125.00"
"REGS","MH 2048","B","G","West Bengal","5.00","88.00","120.00","144.00","144.00","144.00","216.00","300.00","210.00","672.00","732.00","700.00"
"REGS","MH 2049","A","U","A Union Govt","94592.54","103224.42","114172.74","124573.48","128114.21","130958.22","141374.88","154279.74","179986.65","200580.33","223700.84","244623.97"
"REGS","MH 2049","B","UT","A UT Puducherry","74.53","86.40","100.99","115.59","134.51","152.81","171.39","187.35","217.38","260.69","287.31","331.20"
"REGS","MH 2049","B","G","Andhra Pradesh","3101.05","3792.62","4583.75","6130.72","6855.93","7091.41","7008.10","7280.29","7588.72","8057.12","8913.59","9674.94"
"REGS","MH 2049","B","S","Arunachal Pradesh","79.80","120.68","108.99","125.40","141.92","146.90","156.45","187.76","154.94","215.54","226.98","399.92"
"REGS","MH 2049","B","S","Assam","955.56","865.11","1061.99","1244.74","1446.10","1403.53","1510.12","1515.67","1512.24","1593.33","1832.58","1912.12"
"REGS","MH 2049","B","G","Bihar","2867.26","3141.58","2629.34","3021.80","3343.05","3473.90","3648.89","3416.09","3706.99","3752.94","3685.47","4319.16"
"REGS","MH 2049","B","G","Chattisgarh","0.00","285.92","731.35","809.86","1053.80","1151.91","961.54","1025.53","1140.18","1077.53","1094.86","1198.37"
"REGS","MH 2049","B","UT","D NCT Delhi","530.74","716.76","910.61","1114.78","1367.27","1568.56","1672.82","2210.23","2504.34","2511.87","2472.93","2579.52"
"REGS","MH 2049","B","G","Goa","178.15","212.16","255.97","291.86","320.86","322.99","400.36","426.81","446.86","509.80","582.62","650.36"
"REGS","MH 2049","B","G","Gujarat","2808.19","3131.39","4206.01","4948.76","5804.85","6078.57","6143.23","6931.77","7484.45","7884.05","8590.09","9627.33"
"REGS","MH 2049","B","G","Haryana","1357.41","1491.91","1624.47","1945.97","2112.65","2234.50","2099.83","2265.06","2345.77","2338.91","2736.53","3318.56"
"REGS","MH 2049","B","S","Himachal Pradesh","597.33","798.29","1041.59","1171.52","1472.78","1641.14","1562.72","1669.43","1702.72","1893.57","1955.85","1949.77"
"REGS","MH 2049","B","S","Jammu and Kashmir","844.53","768.77","1047.42","1095.05","1246.01","1103.27","1114.93","1785.63","2435.10","1577.23","2138.24","2283.00"
"REGS","MH 2049","B","G","Jharkhand","0.00","81.15","567.81","1418.95","1182.33","1141.32","1419.54","1613.38","1758.03","1886.88","2307.45","2227.54"
"REGS","MH 2049","B","G","Karnataka","2012.30","2387.55","2682.89","3291.89","3710.00","3794.05","3764.82","4236.40","4505.78","4532.03","5212.91","5641.00"
"REGS","MH 2049","B","G","Kerala","1952.27","2257.60","2489.47","2946.77","3328.30","3612.54","3799.25","4189.70","4329.65","4659.69","5292.48","5689.66"
"REGS","MH 2049","B","G","Madhya Pradesh","2138.66","2410.78","2253.67","2502.30","3206.50","3661.14","3421.79","4028.95","4190.77","4191.99","4454.30","5048.95"
"REGS","MH 2049","B","G","Maharastra","4883.59","5224.54","6429.08","7129.76","8335.48","8978.56","9347.24","11655.67","12204.01","12299.31","14110.50","15647.97"
"REGS","MH 2049","B","S","Manipur","131.96","177.16","191.41","254.68","215.34","266.43","237.53","288.99","298.50","313.83","322.57","364.78"
"REGS","MH 2049","B","S","Meghalaya","95.70","113.66","128.56","151.34","170.03","177.23","191.00","203.13","188.99","212.04","233.97","256.93"
"REGS","MH 2049","B","S","Mizoram","93.72","101.20","146.18","133.05","166.62","181.50","184.65","228.75","208.01","225.62","254.35","105.58"
"REGS","MH 2049","B","S","Nagaland","152.29","177.09","200.47","214.57","234.74","249.62","253.89","279.69","270.46","313.99","362.52","394.33"
"REGS","MH 2049","B","G","Orissa","1237.70","2286.81","2834.96","2885.58","2860.29","3332.02","3697.10","3188.43","3169.48","2889.81","3044.17","3061.46"
"REGS","MH 2049","B","G","Punjab","2636.67","2343.27","3178.05","3433.93","3712.32","3981.50","3715.16","4151.78","4526.92","4901.68","5010.99","5515.11"
"REGS","MH 2049","B","G","Rajasthan","2825.21","3339.26","3877.99","4300.14","4777.14","5172.00","5210.20","5701.82","5942.99","6224.25","6769.13","7369.00"
"REGS","MH 2049","B","S","Sikkim","67.92","78.67","84.16","89.53","92.50","99.19","102.60","115.27","117.74","142.64","154.43","186.77"
"REGS","MH 2049","B","G","Tamil Nadu","2711.47","3123.79","3513.37","4133.41","4699.59","4755.49","4558.79","5505.99","6085.85","5962.82","6667.35","7939.88"
"REGS","MH 2049","B","S","Tripura","185.21","226.03","253.22","290.73","332.71","355.83","370.62","388.17","395.76","394.29","408.51","447.32"
"REGS","MH 2049","B","G","Uttar Pradesh","6553.08","7452.61","8220.03","7059.54","10123.60","11872.94","9098.26","10476.78","10820.15","11375.06","11988.46","14215.57"
"REGS","MH 2049","B","S","Uttarakhand","0.00","117.49","507.07","552.76","596.85","815.58","807.53","964.23","1095.94","1187.51","1337.97","1479.58"
"REGS","MH 2049","B","G","West Bengal","4169.01","5249.53","6375.39","7666.47","9210.42","9623.25","9752.76","10878.88","11383.56","12068.99","13305.12","13817.30"
"REGS","MH 2051","A","U","A Union Govt","57.13","56.51","59.60","62.26","65.95","69.68","75.63","86.10","95.72","126.05","164.95","194.17"
"REGS","MH 2051","B","UT","A UT Puducherry","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"REGS","MH 2051","B","G","Andhra Pradesh","6.10","8.80","6.99","6.97","7.58","8.09","13.74","9.55","11.93","18.64","14.70","28.44"
"REGS","MH 2051","B","S","Arunachal Pradesh","0.80","0.85","0.91","0.82","0.99","0.90","1.18","1.45","1.79","2.05","4.26","3.16"
"REGS","MH 2051","B","S","Assam","2.11","1.98","2.81","2.33","2.59","2.62","2.72","3.01","3.47","3.72","4.25","5.78"
"REGS","MH 2051","B","G","Bihar","7.36","5.63","5.16","5.23","5.98","6.52","6.74","7.09","8.79","10.89","12.17","14.66"
"REGS","MH 2051","B","G","Chattisgarh","0.00","0.00","0.26","0.51","1.73","1.69","2.79","1.56","1.77","3.62","3.29","4.81"
"REGS","MH 2051","B","UT","D NCT Delhi","2.11","2.17","2.02","4.50","5.56","10.64","3.74","6.57","6.74","9.94","13.09","9.81"
"REGS","MH 2051","B","G","Goa","0.42","0.41","0.48","0.68","0.58","0.75","0.69","0.88","0.89","1.14","1.41","1.52"
"REGS","MH 2051","B","G","Gujarat","3.34","3.30","3.65","3.36","3.41","3.34","3.44","4.95","7.62","6.95","10.02","11.07"
"REGS","MH 2051","B","G","Haryana","3.08","3.24","3.44","3.54","4.60","4.71","5.55","5.78","7.51","10.68","10.19","9.93"
"REGS","MH 2051","B","S","Himachal Pradesh","3.01","3.36","3.27","2.86","2.84","3.03","3.97","4.46","4.51","5.06","6.64","7.97"
"REGS","MH 2051","B","S","Jammu and Kashmir","1.60","1.63","1.57","1.34","1.40","1.82","2.23","2.38","2.97","3.44","3.87","3.98"
"REGS","MH 2051","B","G","Jharkhand","0.00","0.00","0.02","1.19","8.93","5.29","3.65","4.47","5.63","4.64","6.27","3.55"
"REGS","MH 2051","B","G","Karnataka","4.76","3.79","4.14","5.16","4.29","6.17","9.45","12.09","10.97","18.59","12.76","13.02"
"REGS","MH 2051","B","G","Kerala","19.24","19.50","17.80","22.80","23.39","26.29","29.91","34.69","43.65","45.33","46.64","54.18"
"REGS","MH 2051","B","G","Madhya Pradesh","3.57","3.74","2.54","2.39","3.34","2.91","3.88","5.73","4.12","7.71","5.37","14.27"
"REGS","MH 2051","B","G","Maharastra","8.50","6.68","4.88","4.26","4.57","6.61","7.78","6.06","9.25","12.41","11.83","17.38"
"REGS","MH 2051","B","S","Manipur","0.95","0.81","0.89","0.88","0.88","0.90","1.33","1.36","1.54","1.72","1.78","2.25"
"REGS","MH 2051","B","S","Meghalaya","0.83","0.76","0.87","1.05","1.00","1.05","1.19","1.31","1.38","1.46","2.28","2.17"
"REGS","MH 2051","B","S","Mizoram","0.98","1.05","1.04","1.28","1.30","1.30","1.49","1.52","2.15","2.35","3.11","3.90"
"REGS","MH 2051","B","S","Nagaland","0.80","1.00","0.99","0.99","1.28","1.16","1.59","1.42","1.68","1.83","2.25","2.81"
"REGS","MH 2051","B","G","Orissa","2.10","2.23","2.16","2.62","2.40","2.25","2.08","3.26","3.56","4.54","5.71","6.00"
"REGS","MH 2051","B","G","Punjab","2.83","2.49","2.77","2.84","3.30","3.26","3.11","4.22","3.12","2.91","3.88","6.46"
"REGS","MH 2051","B","G","Rajasthan","4.17","3.40","3.63","4.14","5.50","5.06","5.13","6.79","8.91","14.92","13.15","17.47"
"REGS","MH 2051","B","S","Sikkim","0.35","0.33","0.37","0.44","0.41","0.47","0.57","0.62","0.87","0.92","1.56","1.47"
"REGS","MH 2051","B","G","Tamil Nadu","15.00","12.32","10.87","9.63","7.97","8.60","10.67","14.39","20.88","20.60","26.23","31.41"
"REGS","MH 2051","B","S","Tripura","0.87","0.98","1.06","1.05","1.22","1.11","1.22","1.47","1.88","1.88","2.46","2.44"
"REGS","MH 2051","B","G","Uttar Pradesh","9.68","10.06","11.10","11.89","10.05","11.70","12.21","16.31","15.43","19.49","26.06","28.80"
"REGS","MH 2051","B","S","Uttarakhand","0.00","0.00","0.48","1.63","2.82","2.21","2.45","1.93","3.20","3.61","5.08","7.56"
"REGS","MH 2051","B","G","West Bengal","5.34","5.84","5.71","6.07","6.07","6.35","6.88","7.37","8.47","12.62","14.57","20.42"
"REGS","MH 2052","A","U","A Union Govt","732.47","771.17","780.71","804.84","852.50","969.89","1073.19","1113.85","1174.09","1621.85","2178.74","2146.28"
"REGS","MH 2052","B","UT","A UT Puducherry","4.97","5.32","5.34","5.78","6.23","7.18","7.86","8.69","8.21","11.72","14.63","15.47"
"REGS","MH 2052","B","G","Andhra Pradesh","56.97","106.99","61.77","63.18","91.77","103.23","71.74","91.31","1053.33","127.90","219.42","139.07"
"REGS","MH 2052","B","S","Arunachal Pradesh","13.81","15.60","17.89","18.43","22.57","23.68","24.98","28.81","32.39","37.40","61.80","57.63"
"REGS","MH 2052","B","S","Assam","25.60","21.86","25.26","23.02","26.07","32.96","297.06","98.64","276.32","529.05","1026.95","446.16"
"REGS","MH 2052","B","G","Bihar","63.39","53.12","42.24","41.33","38.85","39.64","44.25","56.13","61.43","72.20","101.43","125.32"
"REGS","MH 2052","B","G","Chattisgarh","0.00","5.27","18.14","20.52","19.96","25.66","23.69","28.10","26.09","31.05","39.70","46.65"
"REGS","MH 2052","B","UT","D NCT Delhi","11.59","10.99","12.03","13.16","13.88","16.27","17.66","19.57","22.41","36.50","47.00","38.81"
"REGS","MH 2052","B","G","Goa","4.81","5.13","6.02","6.48","7.98","8.51","8.53","10.41","11.56","16.59","21.44","22.93"
"REGS","MH 2052","B","G","Gujarat","41.25","89.67","70.07","74.87","65.18","73.65","76.93","90.14","98.79","92.21","190.58","178.41"
"REGS","MH 2052","B","G","Haryana","27.92","29.37","28.89","29.43","30.48","34.61","59.40","41.62","46.09","65.09","78.34","86.50"
"REGS","MH 2052","B","S","Himachal Pradesh","20.03","20.96","20.24","20.84","21.61","22.19","26.98","29.44","31.54","37.66","44.21","50.15"
