"Sector","Major Head ","Cat","Cat2","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"REGS","MH 2012","B","S","Jammu and Kashmir","1.59","1.41","1.47","1.69","1.89","1.80","2.13","2.14","2.63","3.77","3.64","3.78"
"REGS","MH 2012","B","G","Jharkhand","0.00","1.05","1.30","1.46","1.76","1.81","2.73","3.01","3.04","4.03","4.29","5.12"
"REGS","MH 2012","B","G","Karnataka","1.79","1.91","2.07","2.10","2.40","2.31","2.55","2.57","3.41","4.55","4.99","4.62"
"REGS","MH 2012","B","G","Kerala","1.75","1.57","1.61","1.66","1.79","2.05","1.97","2.43","2.44","3.59","3.72","3.59"
"REGS","MH 2012","B","G","Madhya Pradesh","2.15","2.31","2.15","2.35","2.50","3.20","2.92","3.24","3.20","4.02","4.73","5.40"
"REGS","MH 2012","B","G","Maharastra","3.70","3.01","3.03","3.45","3.99","3.44","5.03","5.69","4.58","7.58","8.84","8.46"
"REGS","MH 2012","B","S","Manipur","1.30","1.04","1.01","1.10","1.23","1.28","1.37","1.55","1.62","1.97","1.95","2.52"
"REGS","MH 2012","B","S","Meghalaya","2.04","2.67","3.09","2.29","2.29","3.40","2.61","2.71","3.11","3.76","4.33","5.53"
"REGS","MH 2012","B","S","Mizoram","1.14","1.16","1.38","1.59","1.52","1.65","1.90","2.04","2.26","2.95","3.18","3.72"
"REGS","MH 2012","B","S","Nagaland","1.40","1.58","1.92","1.69","1.96","1.79","2.12","2.12","2.48","2.85","3.32","4.42"
"REGS","MH 2012","B","G","Orissa","1.83","1.77","1.74","1.84","1.91","1.85","2.21","2.67","2.90","3.92","4.80","5.19"
"REGS","MH 2012","B","G","Punjab","1.66","2.09","2.17","2.23","2.42","2.52","3.19","2.90","2.82","3.41","4.02","4.54"
"REGS","MH 2012","B","G","Rajasthan","2.34","2.13","2.48","2.56","2.55","2.97","2.99","3.10","4.16","5.17","5.72","5.10"
"REGS","MH 2012","B","S","Sikkim","0.93","0.95","1.31","1.31","1.63","1.82","2.04","2.41","2.53","3.40","4.19","3.61"
"REGS","MH 2012","B","G","Tamil Nadu","2.78","3.15","2.37","2.53","2.53","2.92","3.11","3.58","4.03","5.14","6.15","6.67"
"REGS","MH 2012","B","S","Tripura","0.94","1.10","1.15","1.15","1.12","1.19","1.40","1.58","1.71","2.23","2.42","2.42"
"REGS","MH 2012","B","G","Uttar Pradesh","2.53","2.65","2.49","2.57","2.57","2.76","2.98","3.58","3.82","3.97","5.35","7.73"
"REGS","MH 2012","B","S","Uttarakhand","0.00","0.23","0.94","1.36","1.28","1.36","1.74","1.90","2.08","2.89","3.48","4.20"
"REGS","MH 2012","B","G","West Bengal","2.28","2.29","2.61","2.30","2.58","2.60","2.75","3.10","3.21","3.84","5.30","5.97"
"REGS","MH 2013","A","U","A Union Govt","41.21","56.65","66.60","75.44","109.40","123.27","98.28","121.97","182.06","183.06","148.24","141.17"
"REGS","MH 2013","B","UT","A UT Puducherry","1.34","1.37","1.63","1.91","2.65","3.43","4.27","5.26","4.53","5.55","5.75","5.05"
"REGS","MH 2013","B","G","Andhra Pradesh","5.93","7.15","9.14","10.17","11.00","8.65","6.81","9.26","11.27","11.98","11.13","9.00"
"REGS","MH 2013","B","S","Arunachal Pradesh","4.72","5.16","5.51","4.92","8.15","5.15","3.76","4.16","6.40","5.42","9.42","10.89"
"REGS","MH 2013","B","S","Assam","3.16","2.93","2.23","3.19","3.28","4.02","2.16","3.05","3.39","3.60","4.96","6.09"
"REGS","MH 2013","B","G","Bihar","8.94","9.68","8.80","9.82","8.64","7.61","1.93","5.52","7.29","8.33","11.46","11.21"
"REGS","MH 2013","B","G","Chattisgarh","0.00","1.52","7.74","9.58","10.84","11.31","11.96","15.97","21.27","21.28","18.00","19.62"
"REGS","MH 2013","B","UT","D NCT Delhi","2.38","3.22","2.67","2.28","2.98","3.88","4.62","3.75","4.47","3.84","4.09","4.49"
"REGS","MH 2013","B","G","Goa","1.31","1.58","1.95","1.98","1.66","1.70","1.67","2.93","3.39","2.00","1.79","1.93"
"REGS","MH 2013","B","G","Gujarat","3.57","3.82","2.93","2.30","1.27","0.98","1.63","2.18","1.70","1.51","2.10","2.65"
"REGS","MH 2013","B","G","Haryana","9.30","6.26","8.52","7.21","8.93","7.09","21.77","23.79","27.47","45.48","40.41","43.50"
"REGS","MH 2013","B","S","Himachal Pradesh","4.87","4.40","4.53","4.12","4.52","4.41","3.88","3.57","4.38","3.80","3.75","4.19"
"REGS","MH 2013","B","S","Jammu and Kashmir","1.79","1.56","1.76","1.48","2.27","2.53","2.29","2.01","2.86","1.31","2.70","3.16"
"REGS","MH 2013","B","G","Jharkhand","0.00","2.24","3.15","3.75","5.04","3.38","2.93","3.22","3.71","2.95","0.70","3.10"
"REGS","MH 2013","B","G","Karnataka","10.93","11.28","9.48","10.35","10.79","5.27","8.21","8.46","8.92","8.07","10.97","10.11"
"REGS","MH 2013","B","G","Kerala","4.31","4.18","3.88","3.58","4.06","4.37","5.42","4.80","4.72","6.05","5.37","5.46"
"REGS","MH 2013","B","G","Madhya Pradesh","16.38","16.61","12.60","21.52","15.74","13.33","17.84","19.58","21.82","27.69","28.39","40.15"
"REGS","MH 2013","B","G","Maharastra","8.77","9.94","8.20","8.95","11.23","6.86","7.74","7.51","8.85","9.16","8.78","8.85"
"REGS","MH 2013","B","S","Manipur","2.01","1.63","1.20","1.95","2.48","1.76","1.62","1.29","1.66","1.86","1.71","3.17"
"REGS","MH 2013","B","S","Meghalaya","2.12","3.29","3.37","2.89","3.94","4.54","3.87","4.24","4.24","4.75","3.83","10.28"
"REGS","MH 2013","B","S","Mizoram","1.38","1.87","1.77","1.89","1.93","1.87","1.81","1.82","1.94","2.76","5.16","2.72"
"REGS","MH 2013","B","S","Nagaland","2.80","4.27","3.14","3.59","5.27","4.53","5.38","5.21","4.94","4.91","6.36","6.49"
"REGS","MH 2013","B","G","Orissa","3.30","2.37","2.41","2.30","2.44","1.82","2.52","3.89","3.06","4.74","2.37","4.31"
"REGS","MH 2013","B","G","Punjab","15.60","27.75","24.15","27.23","33.77","17.93","20.20","20.45","24.68","27.76","26.87","32.21"
"REGS","MH 2013","B","G","Rajasthan","2.84","2.55","3.37","3.85","4.50","4.59","5.37","6.41","5.99","7.18","6.17","8.00"
"REGS","MH 2013","B","S","Sikkim","2.74","3.78","3.58","4.35","4.44","5.44","4.73","4.48","5.05","6.99","9.28","6.85"
"REGS","MH 2013","B","G","Tamil Nadu","3.40","3.53","3.50","3.04","3.83","3.22","6.76","5.12","4.19","5.58","4.44","4.31"
"REGS","MH 2013","B","S","Tripura","0.91","0.73","0.38","0.37","0.49","0.35","0.38","0.54","0.41","0.66","0.67","0.52"
"REGS","MH 2013","B","G","Uttar Pradesh","25.58","30.44","42.05","16.04","16.68","24.70","28.51","45.93","25.05","37.69","40.31","47.94"
"REGS","MH 2013","B","S","Uttarakhand","0.00","0.50","2.67","5.00","9.44","21.86","17.91","33.05","43.34","19.00","32.90","25.70"
"REGS","MH 2013","B","G","West Bengal","3.28","2.89","2.96","2.71","3.08","3.06","3.50","3.49","4.92","4.26","4.26","4.18"
"REGS","MH 2014","A","U","A Union Govt","93.94","80.56","97.12","88.01","92.15","100.92","202.57","289.35","184.69","213.54","382.44","386.63"
"REGS","MH 2014","B","UT","A UT Puducherry","2.80","3.00","2.83","2.84","3.25","3.35","3.63","4.94","5.20","6.76","7.92","8.89"
"REGS","MH 2014","B","G","Andhra Pradesh","131.90","164.37","169.25","178.63","228.65","211.09","229.57","269.54","281.77","324.02","415.40","609.68"
"REGS","MH 2014","B","S","Arunachal Pradesh","0.43","0.44","0.81","0.95","1.16","1.01","1.12","1.24","1.24","1.59","2.50","4.12"
"REGS","MH 2014","B","S","Assam","33.65","22.52","36.22","35.13","46.24","51.85","50.49","14.50","63.16","71.17","82.44","142.17"
"REGS","MH 2014","B","G","Bihar","146.26","134.08","107.11","112.00","122.30","140.18","160.53","178.06","204.11","258.05","324.11","439.20"
"REGS","MH 2014","B","G","Chattisgarh","0.00","6.88","19.86","19.39","24.71","31.72","32.76","39.55","44.16","48.89","73.05","104.58"
"REGS","MH 2014","B","UT","D NCT Delhi","57.86","62.73","66.63","71.85","84.43","102.15","123.12","133.48","155.91","225.69","325.66","338.77"
"REGS","MH 2014","B","G","Goa","6.15","6.55","7.25","7.97","8.73","9.79","10.40","11.93","14.50","18.90","23.73","32.33"
"REGS","MH 2014","B","G","Gujarat","93.55","98.80","103.43","113.57","129.57","144.84","152.10","171.75","199.79","207.19","324.54","395.01"
"REGS","MH 2014","B","G","Haryana","45.65","47.28","53.11","58.28","57.99","64.73","76.22","86.20","104.76","140.26","183.77","252.23"
"REGS","MH 2014","B","S","Himachal Pradesh","24.79","27.53","28.45","30.28","34.73","34.82","41.08","46.88","54.13","63.89","73.00","101.81"
"REGS","MH 2014","B","S","Jammu and Kashmir","23.27","25.93","32.87","31.14","32.55","33.11","45.72","41.27","48.64","51.83","64.95","89.92"
"REGS","MH 2014","B","G","Jharkhand","0.00","12.74","39.63","49.74","55.57","62.15","69.59","75.93","86.76","96.09","150.49","206.09"
"REGS","MH 2014","B","G","Karnataka","127.22","134.64","143.77","147.05","169.42","163.40","175.57","200.24","237.03","274.24","311.65","451.32"
"REGS","MH 2014","B","G","Kerala","89.54","93.32","82.69","98.70","106.43","115.46","129.78","154.72","181.52","212.63","245.65","298.79"
"REGS","MH 2014","B","G","Madhya Pradesh","99.69","94.01","83.86","92.94","101.29","133.64","128.62","152.47","156.31","187.59","247.03","370.35"
"REGS","MH 2014","B","G","Maharastra","265.01","234.65","230.58","249.39","296.40","336.96","335.09","369.73","412.52","486.54","650.88","859.01"
"REGS","MH 2014","B","S","Manipur","6.04","5.96","4.55","3.80","4.40","4.12","5.36","4.92","16.13","6.38","6.86","12.34"
"REGS","MH 2014","B","S","Meghalaya","1.65","3.71","2.00","2.58","3.04","3.19","3.30","4.00","4.24","10.91","6.59","8.49"
"REGS","MH 2014","B","S","Mizoram","3.20","3.41","5.42","4.17","4.95","5.01","5.18","5.89","13.22","9.79","11.43","16.84"
"REGS","MH 2014","B","S","Nagaland","3.98","3.96","6.18","5.43","6.45","6.17","7.52","8.17","8.71","10.19","12.10","16.66"
"REGS","MH 2014","B","G","Orissa","48.13","50.33","57.90","53.03","64.99","68.11","68.90","75.55","88.43","122.32","155.88","212.75"
"REGS","MH 2014","B","G","Punjab","58.33","61.47","65.12","74.38","79.77","85.61","90.15","103.13","122.39","145.07","178.11","251.27"
"REGS","MH 2014","B","G","Rajasthan","101.26","106.05","116.94","121.69","145.46","154.12","175.52","184.68","203.53","288.22","340.51","453.94"
"REGS","MH 2014","B","S","Sikkim","3.44","3.30","3.74","3.71","4.25","4.74","6.03","7.85","7.89","8.49","15.69","15.20"
"REGS","MH 2014","B","G","Tamil Nadu","139.81","146.36","147.87","149.60","155.19","166.93","178.13","214.66","241.96","327.11","393.57","499.12"
"REGS","MH 2014","B","S","Tripura","8.05","9.39","10.86","11.46","12.59","12.60","13.88","15.49","29.54","18.80","26.12","35.07"
"REGS","MH 2014","B","G","Uttar Pradesh","251.93","265.82","267.08","291.94","317.27","354.41","385.06","456.45","482.13","542.86","751.34","966.66"
"REGS","MH 2014","B","S","Uttarakhand","0.00","5.72","17.23","18.87","27.32","27.68","29.40","35.05","36.22","50.03","60.33","84.14"
"REGS","MH 2014","B","G","West Bengal","112.04","113.85","119.49","118.32","127.13","151.64","151.54","156.63","191.31","208.35","280.20","374.85"
"REGS","MH 2015","A","U","A Union Govt","511.65","459.33","252.67","390.74","460.87","1161.63","200.43","368.81","270.58","405.05","948.99","355.07"
"REGS","MH 2015","B","UT","A UT Puducherry","0.97","0.69","1.55","0.59","0.75","1.16","1.23","2.63","0.61","1.16","2.91","2.17"
"REGS","MH 2015","B","G","Andhra Pradesh","74.61","14.67","19.67","17.51","48.41","96.40","15.04","38.78","24.34","96.49","186.40","66.49"
"REGS","MH 2015","B","S","Arunachal Pradesh","8.90","3.15","2.87","5.37","8.01","20.41","8.88","4.82","9.24","15.89","43.63","17.50"
"REGS","MH 2015","B","S","Assam","38.02","30.15","16.95","6.67","32.07","25.82","43.58","48.66","13.32","79.21","44.91","142.64"
"REGS","MH 2015","B","G","Bihar","167.91","7.65","8.63","28.19","31.51","151.85","146.59","79.35","28.94","80.62","118.77","252.23"
"REGS","MH 2015","B","G","Chattisgarh","0.00","0.84","1.69","4.07","25.00","15.20","4.47","5.55","8.87","32.53","31.33","19.58"
"REGS","MH 2015","B","UT","D NCT Delhi","-5.78","-0.10","1.06","2.30","14.03","3.31","3.09","4.04","11.83","58.41","66.91","22.85"
"REGS","MH 2015","B","G","Goa","2.72","0.76","1.15","2.28","1.08","2.54","1.63","1.66","7.40","2.38","8.71","2.21"
"REGS","MH 2015","B","G","Gujarat","46.84","6.04","15.08","77.26","24.99","63.25","15.90","30.64","105.28","37.90","124.24","61.50"
"REGS","MH 2015","B","G","Haryana","21.56","7.18","10.75","5.34","6.72","18.66","13.32","8.87","12.73","19.33","41.15","36.45"
"REGS","MH 2015","B","S","Himachal Pradesh","6.89","7.96","6.07","6.94","5.84","8.36","13.23","7.41","14.50","14.59","22.05","18.92"
"REGS","MH 2015","B","S","Jammu and Kashmir","8.74","3.63","3.21","26.55","6.90","12.40","5.00","3.65","4.26","67.03","17.18","32.25"
"REGS","MH 2015","B","G","Jharkhand","0.00","0.82","3.28","20.76","10.54","57.97","7.08","9.19","13.95","17.25","109.43","23.00"
"REGS","MH 2015","B","G","Karnataka","55.63","12.03","18.87","41.64","24.99","60.59","22.07","20.06","38.21","125.82","137.72","56.83"
"REGS","MH 2015","B","G","Kerala","31.05","33.62","27.50","11.07","20.98","31.85","58.84","37.31","18.50","21.23","58.03","93.31"
"REGS","MH 2015","B","G","Madhya Pradesh","34.87","8.05","6.79","10.76","37.73","31.15","4.97","12.04","15.37","34.24","54.59","35.89"
"REGS","MH 2015","B","G","Maharastra","132.21","23.11","22.96","26.93","39.77","217.09","43.34","35.53","65.40","86.05","425.05","111.27"
"REGS","MH 2015","B","S","Manipur","10.77","5.79","6.49","3.23","7.22","2.82","1.95","7.20","6.38","10.87","5.51","8.79"
"REGS","MH 2015","B","S","Meghalaya","5.01","2.47","3.94","7.54","4.32","8.56","6.33","7.89","16.56","27.29","7.27","11.93"
"REGS","MH 2015","B","S","Mizoram","10.28","1.63","1.55","3.50","10.84","10.78","3.18","2.40","5.76","19.19","16.51","7.98"
